FIPS,State,County,UnempRate2021,PctEmpChange2021,UnempRate2020,PctEmpChange1920,UnempRate2019,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2010,UnempRate2007,PctEmpChange1021,PctEmpChange0721,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,NumCivLaborForce2008,NumUnemployed2012,NumEmployed2012,UnempRate2012,NumCivLaborForce2012,UnempRate2009,NumUnemployed2011,NumCivLaborForce2009,NumCivLaborForce2011,NumEmployed2014,NumEmployed2008,UnempRate2011,NumUnemployed2020,NumEmployed2020,NumCivLaborForce2020,NumUnemployed2008,NumUnemployed2009,NumEmployed2009,NumCivLaborforce2007,UnempRate2008,NumEmployed2011,NumCivLaborforce2017,NumUnemployed2021,NumEmployed2021,NumCivLaborforce2021,NumEmployed2010,NumCivLaborforce2010,NumUnemployed2010,NumEmployed2019,NumUnemployed2019,NumCivLaborforce2019,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,UnempRate2013,NumEmployed2017,NumEmployed2007,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2015,NumEmployed2015,NumUnemployed2015,UnempRate2014,NumUnemployed2014,NumCivLaborforce2014,NumUnemployed2013,NumEmployed2013,NumCivLaborforce2013,NumUnemployed2007,NumUnemployed2017
00000,US,United States,5.4,3.3,8.1,-6.1,3.7,3.9,4.4,4.9,5.3,9.6,4.6,9.8,5.5,-4,1.201674306,0.457961719,6.804088111,10.02216341,13.44038094,5.654194956,1.924477241,6.655580371,49.14160969,4.697869257,157510982,153761037,12510920,142527201,8.1,155038121,9.3,13831817,153825454,154520678,146318952,144860349,9,13023736,148183367,161207103,8900688,14230755,139594699,152191050,5.8,140688861,160744592,8658650,153099687,161758337,139393814,154254521,14860707,157805900,6009990,163815890,6311940,155727518,162039458,7.4,153744181,145156133,7725602,150949349,158674951,156840649,148554918,8285731,6.2,9617207,155936159,11457241,143905037,155362278,7034917,7000411
01000,AL,Alabama,3.4,2.3,6.5,-3.6,3.2,3.9,4.5,5.9,6.1,10.4,4.1,10.2,3.7,-5.9,1.003451882,0.375966658,6.891479883,14.17811121,14.07556231,5.649943389,1.376336092,5.545186159,45.46624788,5.437714535,2173597,2176854,177660,2000848,8.2,2178508,10.1,210958,2156593,2202337,2018705,2049579,9.6,147160,2121149,2268309,127275,217809,1938784,2180448,5.8,1991379,2203458,77272,2169721,2246993,1968824,2197028,228204,2199868,72024,2271892,87397,2153080,2240477,7.3,2103873,2092030,126572,2029157,2155729,2152295,2020443,131852,6.7,146010,2164715,159274,2012828,2172102,88418,99585
01001,AL,Autauga,2.8,2.5,5.4,-3.6,2.9,3.6,4,5.1,5.2,8.8,3.4,9,8.4,-0.5,0.579799776,0.193266592,7.181786556,12.08689266,14.78489428,4.45672761,1.202118202,6.084032314,44.29670287,9.133779135,25871,24687,1830,23932,7.1,25762,8.9,2157,24660,25845,24150,23376,8.3,1420,24985,26405,1311,2196,22464,24434,5.3,23688,26269,742,25599,26341,23481,25749,2268,25920,764,26684,951,25524,26475,6.3,25224,23610,1315,24395,25710,25541,24206,1335,5.8,1489,25639,1628,24155,25783,824,1045
01003,AL,Baldwin,3,4,6.2,-3.4,2.9,3.6,4.2,5.4,5.6,9.9,3.2,28.2,20.3,-6.1,1.534009792,0.216543544,8.686653827,9.465635689,16.50138454,4.650895398,1.364415955,7.13348089,45.3131737,5.133806663,104367,83205,6534,77973,7.7,84507,8.9,7618,82314,85077,81265,79222,9,6159,92751,98910,3983,7364,74950,82829,4.8,77459,93152,2946,96481,99427,75283,83551,8268,96044,2877,98921,3483,92769,96252,6.7,89286,80213,4806,84972,89778,87493,82619,4874,6.1,5281,86546,5740,79466,85206,2616,3866
01005,AL,Barbour,5.7,-3.4,7.8,-3.5,4,5.1,6,8.4,8.9,12.1,6.4,-13.9,-20.3,-7.4,5.478331971,0,4.590585212,25.4175914,10.75808901,6.366078729,0.58404392,3.87805163,35.79021142,7.137016704,8561,10175,1104,8273,11.8,9377,13.2,1127,9944,9843,7930,9249,11.4,676,8004,8680,926,1309,8635,10363,9.1,8716,8415,469,7728,8197,8978,10219,1241,8292,345,8637,434,8071,8505,10.4,7914,9698,696,7638,8334,8590,7823,767,10.5,929,8859,944,8152,9096,665,501
01007,AL,Bibb,3.5,2.3,7.3,-4.9,3.2,4,4.5,6.5,6.7,11.2,4.2,4.2,-2.1,-6.1,1.398516357,2.237626171,11.62592728,13.48656208,14.6418582,5.630548462,1.726863675,6.068344886,37.91803478,5.265718108,8223,8751,771,8037,8.8,8808,12.2,932,8696,8932,7959,8225,10.4,639,8073,8712,526,1059,7637,8810,6,8000,8648,298,8262,8560,7931,8936,1005,8488,284,8772,344,8354,8698,8,8261,8443,553,7986,8539,8552,7983,569,7.2,614,8573,699,8000,8699,367,387
01009,AL,Blount,2.4,2.3,4.6,-3.6,2.8,3.5,4.1,5.4,5.4,9.7,3.2,9,-5,-12.8,1.456030358,0.37122587,9.52400594,17.03514272,15.88434252,7.556508827,0.837320574,4.458835176,39.4984326,3.37815542,24244,26693,1762,23216,7.1,24978,9.2,2173,26426,25124,23074,25405,8.6,1143,23973,25116,1288,2421,24005,26683,4.8,22951,25009,598,24529,25127,22509,24928,2419,24861,721,25582,883,24454,25337,6.4,23979,25816,1319,23061,24380,24416,23089,1327,6.1,1497,24571,1583,23277,24860,867,1030
01011,AL,Bullock,4,-3.5,6,-1.9,3.9,4.6,5,6.9,8,11.7,9.6,1.3,33.5,31.8,4.085908853,0.314300681,4.793085385,42.64012572,6.652697748,2.776322682,1.545311682,2.357255107,25.90361446,8.931377685,3818,3641,502,4240,10.6,4742,14.4,555,3713,4829,4323,3244,11.5,295,4582,4877,397,534,3179,3666,10.9,4274,4890,184,4422,4606,4365,4941,576,4673,188,4861,225,4619,4844,9.5,4644,3313,328,4457,4785,4765,4385,380,8.8,415,4738,452,4322,4774,353,246
01013,AL,Butler,5.3,-0.2,9.6,-6.8,3.9,4.7,5.6,6.9,7.6,13.4,6.3,3.9,-2.6,-6.3,2.391965112,0.066076384,4.387471918,24.79185939,11.77481168,4.889652438,1.123298533,4.268534426,39.92335139,6.382978723,7567,9063,1074,8029,11.8,9103,15.1,1134,9033,9180,8496,8263,12.4,891,8345,9236,800,1362,7671,9124,8.8,8046,9046,468,8328,8796,8015,9252,1237,8956,361,9317,428,8642,9070,10.4,8536,8551,632,8484,9116,9113,8417,696,8.5,789,9285,955,8189,9144,573,510
01015,AL,Calhoun,4.1,1.9,7.8,-3.8,3.7,4.6,5.1,6.6,7.1,11.2,4,-3.5,-16.2,-13.2,0.658203085,0.303629287,5.218755731,18.07918815,15.30780674,4.462739185,1.381615145,3.704684857,43.72669289,7.156684939,49073,54574,4521,45196,9.1,49717,10.2,5285,53760,51271,43562,51371,10.3,3655,43367,47022,3203,5482,48278,54983,5.9,45986,46304,1906,44212,46118,45798,51577,5779,45064,1740,46804,2153,44652,46805,8.9,43960,52782,2980,42470,45450,45808,42566,3242,7.9,3759,47321,4313,44068,48381,2201,2344
