FIPS,State,County,Pop_change_Rate_2020_2021,POPESTIMATE2021,Net_Migration_Rate_2020_2021,Natural_Change_Rate_2020_2021,Net_InterMigrationRate_2020_2021,PopChangeRate1020,PopDensity2020,Under18Pct2020,Age65AndOlderPct2020,WhiteNonHispanicPct2020,BlackNonHispanicPct2020,AsianNonHispanicPct2020,NativeAmericanNonHispanicPct2020,HispanicPct2020,MultipleRacePct2020,NonHispWhitePopChangeRate1020,NonHispBlackPopChangeRate1020,NonHispAsianPopChangeRate1020,NonHispNatAmerPopChangeRate1020,HispanicPopChangeRate1020,MultipleRacePopChangeRate1020,WhiteNonHispanicNum2020,BlackNonHispanicNum2020,AsianNonHispanicNum2020,NativeAmericanNonHispanicNum2020,HispanicNum2020,MultipleRaceNum2020,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,Ed3SomeCollegeNum,Ed2HSDiplomaOnlyNum,Ed1LessThanHSNum,TotalPopACS,ForeignBornNum,TotalPop25Plus,ForeignBornEuropeNum,ForeignBornCaribNum,ForeignBornMexNum,Ed5CollegePlusNum,HH65PlusAloneNum,Ed4AssocDegreeNum,ForeignBornAfricaNum,ForeignBornAsiaNum,NonEnglishHHNum,OwnHomeNum,FemaleHHNum,TotalHH,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornAsiaPct,TotalOccHU,ForeignBornAfricaPct,Age65AndOlderNum2020,Under18Num2020,LandAreaSQMiles2020,TotalPop2020,NaturalChange1019,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,TotalPopEst2018,Net_International_Migration_2010_2019,TotalPopEst2019,TotalPopEst2012,NetMigration1019,Net_International_Migration_Rate_2010_2019,NaturalChangeRate1019,NetMigrationRate1019,PopChangeRate1019,TotalPopEst2014,TotalPopEst2013,TotalPopEstBase2010,TotalPopEst2011,TotalPopEst2010,ESTIMATESBASE2020,POPESTIMATE2020,NaturalChg2020_2021,Net_InterMigration_2020_2021,Net_Migration_2020_2021
00000,US,United States,0.12,331893745,0.07,0.04,0.07,7.35,93.81,22.06,16.33,57.84,12.05,5.92,0.68,18.73,10.21,-2.60,5.98,35.63,0.20,22.99,275.72,191697647.00,39940338.00,19618719.00,2251699.00,62080044.00,33848943.00,13.60,1.47,3.29,4.23,11.13,26.49,20.01,8.71,33.67,2.60,12.32,11.20,64.63,45042031,59636386,25050356,329725481,44844267,225152317,4844388,4502553,10850260,75808834,13888306,19614710,2477515,13969568,5241326,80152161,15273279,124010992,5.44,17932984,1.37,4.24,124010992,0.75,54136629,73106000,3533038.28,331449281,11232413.00,320635163,322941311,324985539,326687501,7685444,328239523,313830990,7685444,2.485,3.631,2.485,6.12,318301008,315993715,308758105,311556874,309321666,331449281,331501080,148043,244622,244622
01000,AL,Alabama,0.30,5039877,0.47,-0.17,0.02,5.12,99.20,22.04,17.21,63.12,25.64,1.51,0.46,5.26,5.11,-1.03,3.51,43.41,-10.76,42.27,260.63,3171351.00,1288159.00,75918.00,23119.00,264047.00,256953.00,3.47,0.40,0.94,1.20,12.60,30.50,21.35,8.88,26.67,2.57,13.89,12.05,69.39,728823,1041209,430047,4997675,173429,3413803,19914,6456,47147,910425,229270,303299,9047,55422,22804,1320571,264411,1902983,1.55,77668,0.13,1.11,1902983,0.18,864663,1107113,50647.13066,5024279,67083.00,4852347,4863525,4874486,4887681,38731,4903185,4815588,50665,0.809,1.402,1.059,2.46,4841799,4830081,4780125,4799069,4785437,5024279,5024803,-8548,1244,23622
01001,AL,Autauga,0.37,59095,0.42,-0.05,0.01,7.76,98.92,24.29,15.67,70.71,19.30,1.48,0.31,3.60,5.37,-1.36,18.31,86.94,-15.21,61.60,263.29,41582.00,11352.00,873.00,184.00,2117.00,3157.00,2.13,0.51,0.45,0.15,10.42,32.76,19.62,9.07,28.13,2.64,13.73,11.58,74.25,7774,12977,4126,58239,1241,39614,299,26,262,11144,2531,3593,116,419,32,16227,3001,21856,0.63,366,0.04,0.72,21856,0.20,9217,14282,594.4561071,58805,720.00,54864,55243,55390,55533,-16,55869,54954,376,-0.029,1.315,0.686,2.00,54893,54727,54597,55227,54773,58805,58877,-32,5,250
01003,AL,Baldwin,2.64,239294,2.90,-0.26,0.03,27.16,145.78,21.27,20.93,80.47,7.77,0.88,0.56,5.47,6.48,22.53,6.10,51.42,12.65,58.73,451.74,186495.00,18001.00,2029.00,1291.00,12686.00,15024.00,3.49,0.71,0.74,0.84,8.99,27.38,21.72,9.47,32.45,2.57,8.29,12.90,77.12,35174,44342,14555,227131,7938,161977,1622,275,1679,52562,11251,15344,195,1660,730,67242,7224,87190,1.65,3759,0.12,0.73,87190,0.09,48517,49296,1589.836014,231767,1667.00,202939,207601,212521,217855,1307,223234,190145,38455,0.714,0.91,21.001,21.91,199183,194885,182265,186558,183112,231767,233140,-607,63,6761
01005,AL,Barbour,-0.86,24964,-0.38,-0.48,0.00,-8.14,28.50,20.18,19.68,43.95,46.98,0.41,0.23,5.99,2.78,-13.64,-7.57,-3.74,-3.33,8.87,171.32,11086.00,11850.00,103.00,58.00,1510.00,700.00,2.61,0.11,1.59,1.29,24.33,36.68,20.50,7.34,11.15,2.45,20.77,16.38,62.21,3689,6600,4378,25259,659,17995,29,0,402,2007,1489,1321,0,94,117,5654,1888,9088,1.96,494,0.00,0.37,9088,0.00,4963,5089,885.008019,25223,-237.00,26283,25806,25157,24872,44,24686,27169,-2404,0.161,-0.867,-8.797,-9.66,26755,26937,27455,27341,27327,25223,25180,-120,1,-96
01007,AL,Bibb,1.14,22477,1.39,-0.25,0.01,-2.71,35.81,21.35,16.57,73.75,19.69,0.12,0.17,3.32,3.40,-4.36,-12.62,18.18,-39.06,82.27,273.89,16442.00,4390.00,26.00,39.00,740.00,759.00,1.09,0.30,0.14,0.32,19.46,43.92,17.97,6.73,11.91,2.96,11.37,10.55,78.78,2886,7052,3125,22412,245,16057,67,25,31,1913,747,1081,0,64,23,5580,805,7083,0.40,89,0.11,0.29,7083,0.00,3693,4760,622.4695701,22293,4.00,22566,22586,22550,22367,120,22394,22667,-480,0.525,0.017,-2.099,-2.08,22553,22521,22915,22745,22870,22293,22223,-56,2,310
01009,AL,Blount,-0.07,59041,0.26,-0.32,0.00,3.16,91.70,23.22,18.46,84.15,1.40,0.29,0.32,9.76,6.18,-2.33,14.09,51.30,-34.04,24.75,434.50,49764.00,826.00,174.00,188.00,5771.00,3656.00,4.50,0.25,3.29,1.58,16.35,35.12,21.47,12.15,14.90,2.74,10.75,11.43,79.18,8732,14284,6650,58884,2650,40668,147,28,1936,6061,2435,4941,21,112,337,16865,2289,21300,3.81,2245,0.05,0.19,21300,0.04,10918,13731,644.8906674,59134,453.00,57526,57494,57787,57771,119,57826,57580,-3,0.207,0.79,-0.005,0.78,57526,57619,57322,57560,57376,59134,59081,-191,2,151
01011,AL,Bullock,0.11,10320,0.10,0.01,0.01,-5.10,16.63,19.32,17.05,22.02,71.33,0.09,0.01,4.86,2.39,-4.64,-3.26,-55.00,-95.00,-35.26,188.37,2281.00,7388.00,9.00,1.00,503.00,248.00,1.20,0.00,0.86,4.01,22.39,41.31,19.18,5.42,11.69,2.92,25.59,16.44,64.93,1319,2841,1540,10386,125,6877,0,0,89,804,562,373,5,0,137,2220,875,3419,1.16,120,0.00,0.00,3419,0.05,1766,2001,622.8150351,10357,70.00,10400,10389,10176,10174,76,10101,10606,-845,0.699,0.644,-7.769,-7.13,10663,10549,10911,10675,10876,10357,10309,1,1,10
01013,AL,Butler,-0.85,18884,-0.42,-0.43,0.02,-9.05,24.52,21.77,20.67,50.81,44.03,0.75,0.12,1.36,3.08,-14.53,-7.27,-17.82,-61.02,36.13,264.60,9679.00,8389.00,143.00,23.00,260.00,587.00,1.67,0.36,0.48,0.00,14.44,45.20,18.71,7.61,14.04,2.89,15.63,14.62,72.39,2504,6050,1932,19181,320,13384,69,0,92,1879,955,1019,0,159,0,4728,1021,6531,0.48,92,0.00,0.83,6531,0.00,3938,4148,776.8385591,19051,-283.00,20162,20012,19888,19631,146,19448,20670,-1201,0.697,-1.352,-5.738,-7.09,20327,20356,20940,20866,20932,19051,19045,-81,3,-80
01015,AL,Calhoun,-0.25,115972,0.08,-0.34,0.00,-1.80,192.18,20.74,17.97,68.29,21.78,1.00,0.33,4.30,5.18,-8.90,4.91,40.24,-19.58,28.69,205.27,79519.00,25365.00,1164.00,386.00,5010.00,6029.00,2.52,0.57,0.82,1.19,14.79,34.61,23.16,7.92,19.53,2.56,14.14,12.94,70.98,18585,27783,11867,116425,2939,80263,669,73,949,15674,5730,6354,98,817,528,31441,6263,44295,1.04,1213,0.06,0.70,44295,0.08,20924,24152,605.8893427,116441,-933.00,115469,114973,114710,114331,558,113605,117190,-3870,0.471,-0.788,-3.268,-4.06,115917,116471,118526,117744,118408,116441,116266,-392,4,98
01017,AL,Chambers,-0.40,34541,0.05,-0.45,0.06,1.63,58.29,20.08,20.01,53.54,38.65,1.11,0.20,3.56,3.48,-6.42,1.78,131.93,24.56,130.78,214.29,18616.00,13441.00,385.00,71.00,1237.00,1210.00,1.99,0.15,0.11,0.61,17.22,36.23,23.10,9.80,13.65,2.61,17.09,11.14,69.26,5735,8996,4275,34834,693,24828,53,44,38,3390,1462,2432,10,317,80,9089,2243,13123,0.77,267,0.13,0.91,13123,0.03,6957,6981,596.5609111,34772,-527.00,33996,33745,33707,33600,162,33254,34104,-341,0.475,-1.544,-0.999,-2.54,33977,34139,34169,34033,34122,34772,34678,-156,21,19
01019,AL,Cherokee,0.15,24996,1.09,-0.94,0.00,-3.92,45.11,19.23,23.55,90.36,3.95,0.22,0.44,1.60,3.68,-5.71,-18.16,12.24,-10.66,25.00,137.73,22563.00,987.00,55.00,109.00,400.00,920.00,2.03,0.87,0.53,2.16,20.18,36.93,19.47,10.59,12.82,2.55,7.84,14.60,78.49,3590,6809,3720,24975,508,18436,217,0,132,2364,1415,1953,0,37,209,7607,760,9692,0.82,204,0.00,0.15,9692,0.00,5880,4802,553.5241283,24971,-970.00,25732,25768,25805,26014,0,26196,25958,1203,0,-3.736,4.634,0.90,25895,26017,25979,25989,25963,24971,24958,-235,1,273
01021,AL,Chilton,0.56,45274,0.63,-0.07,0.00,3.14,64.97,23.61,16.97,77.48,8.97,0.39,0.25,9.81,4.45,-1.46,-3.14,40.80,-16.42,29.18,295.85,34878.00,4040.00,176.00,112.00,4418.00,2003.00,3.62,0.18,2.77,2.52,18.24,42.95,17.77,7.51,13.54,2.68,14.33,11.64,73.79,5426,13113,5569,44857,1624,30534,79,0,1243,4133,1927,2293,0,114,417,12221,2373,16562,3.19,1431,0.00,0.25,16562,0.00,7638,10629,692.8367371,45014,527.00,43700,43866,44120,44163,238,44428,43582,248,0.545,1.207,0.568,1.78,43760,43628,43632,43689,43653,45014,45024,-33,1,283
01023,AL,Choctaw,-0.68,12533,-0.10,-0.59,-0.01,-8.62,13.86,19.72,23.22,55.58,41.19,0.15,0.19,0.89,2.05,-8.58,-12.90,58.33,33.33,54.79,348.28,7039.00,5217.00,19.00,24.00,113.00,260.00,0.84,0.00,0.09,0.00,19.42,37.46,21.18,10.23,11.71,2.42,17.23,16.71,83.32,1966,3477,1802,12792,107,9281,0,0,12,1087,871,949,7,16,0,4342,898,5211,0.55,70,0.00,0.13,5211,0.05,2941,2497,913.4791671,12665,-365.00,13231,13045,12925,12833,-17,12589,13563,-895,-0.123,-2.636,-6.463,-9.10,13317,13397,13858,13609,13849,12665,12619,-74,-1,-12
01025,AL,Clarke,-1.02,22760,-0.55,-0.47,0.00,-10.63,18.64,20.96,20.23,51.85,44.28,0.39,0.32,0.89,2.39,-14.15,-9.37,22.97,-22.92,-23.99,213.64,11970.00,10223.00,91.00,74.00,206.00,552.00,0.68,0.03,0.05,0.28,17.78,41.43,19.00,7.91,13.89,2.79,14.67,12.44,72.52,3091,6740,2892,23346,159,16269,8,0,11,2259,1026,1287,0,105,23,5983,1210,8250,0.20,46,0.00,0.45,8250,0.00,4670,4838,1238.420443,23087,-196.00,24698,24340,24063,23918,-18,23622,25155,-1948,-0.07,-0.761,-7.56,-8.32,24864,25123,25833,25587,25766,23087,22995,-108,0,-127
01027,AL,Clay,-0.02,14190,0.54,-0.56,0.00,2.18,23.57,20.63,20.79,79.10,13.64,0.32,0.32,3.15,4.18,0.67,-5.18,100.00,-18.18,12.53,153.19,11261.00,1942.00,46.00,45.00,449.00,595.00,0.62,0.12,0.16,0.02,16.99,38.25,19.52,11.86,13.38,2.59,11.48,12.56,76.51,1946,3813,1694,14184,88,9969,17,2,22,1334,678,1182,0,24,1,4131,620,5399,0.32,45,0.01,0.17,5399,0.00,2960,2937,603.9624222,14236,-364.00,13415,13393,13350,13294,-9,13235,13434,-299,-0.065,-2.619,-2.151,-4.77,13441,13404,13930,13687,13898,14236,14193,-80,0,77
01029,AL,Cleburne,0.45,15103,1.12,-0.67,0.01,0.56,26.88,22.82,19.80,91.26,3.04,0.14,0.28,1.89,3.76,-1.55,-7.49,-8.70,-16.00,-7.49,253.75,13740.00,457.00,21.00,42.00,284.00,566.00,1.32,0.21,0.74,0.63,16.94,37.48,22.08,7.11,16.38,2.66,12.38,17.35,77.21,2331,3958,1789,15046,199,10559,31,4,111,1730,971,751,30,1,35,4322,693,5598,0.81,122,0.03,0.01,5598,0.20,2981,3436,560.1054727,15056,-81.00,14914,14848,14899,15010,-66,14910,14889,-13,-0.44,-0.54,-0.087,-0.63,15026,14976,14972,14928,15004,15056,15035,-100,1,168
01031,AL,Coffee,1.14,54174,1.22,-0.09,0.04,7.04,78.74,23.74,17.10,66.88,16.17,1.67,0.76,9.14,7.68,-1.04,4.67,41.81,-32.72,53.68,229.35,35759.00,8643.00,892.00,405.00,4887.00,4107.00,4.05,1.03,0.72,0.78,13.64,27.95,22.55,13.18,22.68,2.56,13.90,12.76,69.11,8154,10108,4934,53043,2146,36163,545,109,380,8202,2612,4765,9,608,159,14153,2847,20478,1.61,853,0.21,1.15,20478,0.02,9141,12691,678.9861297,53465,1012.00,50963,51202,51853,51950,784,52342,51141,1122,1.562,2.016,2.235,4.25,50657,50681,49955,50444,50208,53465,53565,-46,22,655
